,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N),Time,Species 
44,11-Feb-2018,2018,Uncertain,BRAZIL,"Boi Island, Victoria",Espirito Santo,FISHING,F,46,N,Unknown,A SHARK
45,03-Feb-2018,2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,SWIMMING/DIVING,M,45,N,Unknown,GALAPAGOS SHARK
46,01-Feb-2018,2018,Uncertain,AUSTRALIA,Western Australia,"Avalon Point, Manurah",FISHING,M,14,N,Unknown,Unknown
47,28-Jan-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,UNKNOWN,M,18,N,08h00,BULL SHARK
48,21-Jan-2018,2018,Unprovoked,NEW CALEDONIA,Unknown,Nouville,FISHING,M,40s,N,15h30,BULL SHARK
49,14-Jan-2018,2018,Unprovoked,AUSTRALIA,Queensland,Lizard Island,SWIMMING/DIVING,M,Unknown,N,15h01,REEF SHARK
50,13-Jan-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,SWIMMING/DIVING,M,28,N,Unknown,WHITE SHARK
51,12-Jan-2018,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,SURFING/WATERSPORTS,M,20,N,Late afternoon,SMALL SHARK
52,05-Jan-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",SURFING/WATERSPORTS,M,Unknown,N,Unknown,WOBBEGONG SHARK
53,31-Dec-2017,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",SURFING/WATERSPORTS,F,54,N,18h00,TIGER SHARK
54,30-Dec-2017,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",SURFING/WATERSPORTS,F,35,N,12h00,Unknown
55,21-Dec-2017,2017,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,SWIMMING/DIVING,M,24,N,Unknown,NURSE SHARK
56,09-Dec-2017,2017,Unprovoked,BAHAMAS,Unknown,Unknown,SWIMMING/DIVING,F,25,N,Unknown,NURSE SHARK
57,30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,SWIMMING/DIVING,M,26,N,Unknown,TIGER SHARK
58,30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,SWIMMING/DIVING,F,49,Y,Unknown,TIGER SHARK
59,Reported 25-Nov-2017,2017,Uncertain,LIBYA,Unknown, Gars Garabulli,2 BOATS CAPSIZED,Unknown,Unknown,Y,Unknown,BLUE SHARK
60,24-Nov-2017,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",FISHING,M,25,N,13h45,WHITE SHARK
61,18-Nov-2017,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",SURFING/WATERSPORTS,F,14,N,Late afternoon,Unknown
62,Reported 13-Nov-2017,2017,Unprovoked,Unknown,Unknown,Unknown,SURFING/WATERSPORTS,M,24,N,Unknown,Unknown
63,13-Nov-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,SURFING/WATERSPORTS,M,25,N,16h00,Unknown
64,04-Nov-2017,2017,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,SWIMMING/DIVING,M,22,Y,23h30,TIGER SHARK
65,Reported 31-Oct-2017,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,SWIMMING/DIVING,M,7,N,Unknown,COOKIECUTTER SHARK
66,28-Oct-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,SURFING/WATERSPORTS,M,31,N,09h00,WOBBEGONG SHARK
67,26-Oct-2017,2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",SURFING/WATERSPORTS,M,Unknown,N,15h00,Unknown
68,23-Oct-2017,2017,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,SWIMMING/DIVING,M,Unknown,N,Afternoon,Unknown
69,23-Oct-2017,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",SURFING/WATERSPORTS,M,17,N,17h00,Unknown
70,23-Oct-2017,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",SWIMMING/DIVING,F,60,N,08h00,Unknown
71,22-Oct-2017,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,FISHING,F,15,N,Afternoon,WHITE SHARK
72,21-Oct-2017,2017,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",KAYAKING,M,Unknown,N,09h00,Unknown
73,18-Oct-2017,2017,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",SWIMMING/DIVING,M,Unknown,N,14h30,SPINNER SHARK
74,09-Oct-2017,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",SURFING/WATERSPORTS,M,54,N,18h30,TIGER SHARK
75,05-Oct-2017,2017,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",SWIMMING/DIVING,F,40,N,12h30,Unknown
76,01-Oct-2017,2017,Uncertain,SOUTH AFRICA,Western Cape Province,Dyer Island,SWIMMING/DIVING,M,31,Unknown,Unknown,Unknown
77,25-Sep-2017,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",SURFING/WATERSPORTS,M,Unknown,N,Morning,Unknown
78,25-Sep-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,SURFING/WATERSPORTS,M,Unknown,N,18h00,WHITE SHARK
79,24-Sep-2017,2017,Uncertain,USA,New York,Rockaway,SURFING/WATERSPORTS,M,33,Unknown,15h30,Unknown
80,24-Sep-2017,2017,Unprovoked,USA,Florida,Fort Worth,SURFING/WATERSPORTS,M,Unknown,N,14h00,Unknown
81,20-Sep-2017,2017,Unprovoked,USA,Florida,Palm Beach County,SURFING/WATERSPORTS,M,Unknown,N,Morning,Unknown
82,16-Sep-2017,2017,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,SURFING/WATERSPORTS,M,13,N,Unknown,Unknown
83,16-Sep-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",SURFING/WATERSPORTS,M,28,N,16h30,Unknown
84,15-Sep-2017,2017,Uncertain,SOUTH AFRICA,Western Cape Province,Hawston,SWIMMING/DIVING,M,25,Unknown,Afternoon,Unknown
85,15-Sep-2017,2017,Uncertain,SAMOA, Upolu Island,Nofoalii,FISHING,M,Uncertain,N,Night,Unknown
86,Sep-2017,2017,Uncertain,AUSTRALIA,Westerm Australia,Esperance,FISHING,Unknown,Unknown,N,Unknown,WHITE SHARK
87,13-Sep-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",SURFING/WATERSPORTS,M,18,N,18h45,Unknown
88,10-Sep-2017,2017,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,SWIMMING/DIVING,M,Unknown,N,15h00,Unknown
89,10-Sep-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,SURFING/WATERSPORTS,M,35,N,06h00,WHITE SHARK
90,Reported 06-Sep-2017,2017,Unprovoked,SOLOMON ISLANDS,Unknown,Owarigi Island,FISHING,M,Unknown,N,Unknown,Unknown
91,03-Sep-2017,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,SWIMMING/DIVING,M,Unknown,Y,Morning,Unknown
92,03-Sep-2017,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,SURFING/WATERSPORTS,M,42,N,10h00,Unknown
93,02-Sep-2017,2017,Unprovoked,USA,Florida,"Marathon, Monroe County",SWIMMING/DIVING,M,Unknown,N,Unknown,NURSE SHARK
94,02-Sep-2017,2017,Unprovoked,USA,Texas,"South Padre Island, Cameron County",SWIMMING/DIVING,F,Unknown,N,Unknown,Unknown
95,02-Sep-2017,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,17,N,10h44,Unknown
96,29-Aug-2017,2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,SURFING/WATERSPORTS,M,37,N,10h30,WHITE SHARK
97,27-Aug-2017,2017,Unprovoked,USA,Florida,Bathtub Beach ,SWIMMING/DIVING,F,3,N,13h19,Unknown
98,26-Aug-2017,2017,Uncertain,SPAIN,Castellón,Grao de Moncofa,SWIMMING/DIVING,F,11,Unknown,Midday,Unknown
99,26-Aug-2017,2017,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,CANOEING,M,Unknown,N,Unknown,Unknown
100,23-Aug-2017,2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,N,10h00,WHITE SHARK
101,18-Aug-2017,2017,Unprovoked,BAHAMAS,Unknown,Unknown,FISHING,M,Unknown,N,15h00,Unknown
102,10-Aug-2017,2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",SWIMMING/DIVING,M,13,N,13h30,BLACKTIP SHARK
103,05-Aug-2017,2017,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,SWIMMING/DIVING,F,20,N,Unknown,WHITETIP SHARK
104,03-Aug-2017,2017,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",FISHING,M,34,N,23h30,Unknown
105,01-Aug-2017,2017,Uncertain,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",FISHING,M,Unknown,N,10h45,WHITE SHARK
106,31-Jul-2017,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",SURFING/WATERSPORTS,M,15,N,18h30,Unknown
107,29-Jul-2017,2017,Uncertain,USA,South Carolina,"Hilton Head Island, Beaufort County",SWIMMING/DIVING,M,10,Unknown,15h00,SMALL SHARK
108,29-Jul-2017,2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",UNKNOWN,F,12,N,Afternoon,Unknown
109,27-Jul-2017,2017,Unprovoked,BAHAMAS,New Providence District,Rose Island,SWIMMING/DIVING,F,Unknown,N,Unknown,Unknown
110,Reported 26-Jul-2017,2017,Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Unknown,FISHING,M,Unknown,N,Unknown,Unknown
111,24-Jul-2017,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,SURFING/WATERSPORTS,M,37,N,17h00,Unknown
112,23-Jul-2017,2017,Unprovoked,USA,New Jersey,Ventnor,UNKNOWN,F,Unknown,N,Unknown,SANDTIGER SHARK
113,23-Jul-2017,2017,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",SWIMMING/DIVING,F,Unknown,N,Afternoon,BLUE SHARK
114,22-Jul-2017,2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",UNKNOWN,F,40,N,12h30,SMALL SHARK
115,20-Jul-2017,2017,Uncertain,USA,South Carolina,"Hilton Head Island, Beaufort County",SWIMMING/DIVING,F,8,Unknown,Unknown,Unknown
116,20-Jul-2017,2017,Uncertain,USA,California,"Stearns Wharf, Santa Barbara",KAYAKING,M,40,N,11h20,WHITE SHARK
117,20-Jul-2017,2017,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,N,07h45,WHITE SHARK
118,14-Jul-2017,2017,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",SURFING/WATERSPORTS,M,Unknown,N,18h30,WHITE SHARK
119,14-Jul-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,SURFING/WATERSPORTS,M,Unknown,N,11h45,Unknown
120,11-Jul-2017,2017,Uncertain,USA,California,"Santa Cruz, Santa Cruz County",KAYAKING,M,Unknown,N,11h00,WHITE SHARK
121,09-Jul-2017,2017,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",SWIMMING/DIVING,M,46,N,15h30,BULL SHARK
122,Reported 07-Jul-2017,2017,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",FISHING,M,32,N,Unknown,TIGER SHARK
123,07-Jul-2017,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",SURFING/WATERSPORTS,F,13,N,15h00,WHITE SHARK
124,02-Jul-2017,2017,Uncertain,COMOROS,Anjouan,Moya,FISHING,Unknown,Unknown,Unknown,Unknown,Unknown
125,29-Jun-2017,2017,Uncertain,USA,South Carolina,Wrightsville Beach,FISHING,M,Unknown,Unknown,19h30,NO SHARK
126,21-Jun-2017,2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",SWIMMING/DIVING,F,16,N,Unknown,Unknown
127,19-Jun-2017,2017,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",SURFING/WATERSPORTS,M,Unknown,N,Morning,Unknown
128,18-Jun-2017,2017,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",SWIMMING/DIVING,F,14,N,Unknown,BULL SHARK
129,18-Jun-2017,2017,Unprovoked,REUNION,Unknown,Roches Noire,SURFING/WATERSPORTS,M,34,N,10h00,BULL SHARK
130,17-Jun-2017,2017,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,SWIMMING/DIVING,M,82,N,12h00,Unknown
131,2017.06.05,2017,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",SURFING/WATERSPORTS,M,Unknown,N,Unknown,Unknown
132,Reported 14-Jun-2017,2017,Unprovoked,BAHAMAS,Unknown,Unknown,FEEDING SHARKS,F,Unknown,N,Unknown,Unknown
133,11-Jun-2017,2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",SURFING/WATERSPORTS,M,48,N,08h30,WHITE SHARK
134,10-Jun-2017,2017,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",SURFING/WATERSPORTS,F,Unknown,N,15h45,GILL SHARK
135,10-Jun-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",SURFING/WATERSPORTS,M,19,N,10h00,Unknown
136,Reported 07-Jun-2017,2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,SURFING/WATERSPORTS,M,30,N,Unknown,Unknown
137,04-Jun-2017,2017,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",FISHING,M,Unknown,N,Unknown,Unknown
138,02-Jun-2017,2017,Unprovoked,BAHAMAS,New Providence ,Athol Island,SWIMMING/DIVING,F,32,N,Shortly before 12h00,TIGER SHARK
139,30-May-2017,2017,Provoked,USA,South Carolina,"Awendaw, Charleston County",TOUCHING A SHARK,F,20,N,Unknown,Unknown
140,28-May-2017,2017,Unprovoked,USA,Florida,Off Jupiter,FEEDING SHARKS,M,Unknown,N,Morning,TIGER SHARK
141,27-May-2017,2017,Uncertain,AUSTRALIA,New South Wales,Evans Head,FISHING,M,73,N,Unknown,Unknown
142,12-May-2017,2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,FISHING,M,41,N,Morning,Unknown
143,Reported 06-May-2017,2017,Provoked,AUSTRALIA,Queensland,Weipa,ATTEMPTING TO LASSO A SHARK,M,29,N,Unknown,Unknown
144,05-May-2017,2017,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",SWIMMING/DIVING,M,33,Y,17h00,Unknown
145,03-May-2017,2017,Uncertain,USA,California,"Sunset Beach, Orange County",SURFING/WATERSPORTS,F,18,Unknown,14h30,Unknown
146,29-Apr-2017,2017,Unprovoked,USA,California,"San Onofre, San Diego County ",SWIMMING/DIVING,F,Unknown,N,17h34,Unknown
147,29-Apr-2017,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",SURFING/WATERSPORTS,M,14,N,17h10,Unknown
148,29-Apr-2017,2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",SURFING/WATERSPORTS,F,33,N,11h00,Unknown
149,29-Apr-2017,2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,SURFING/WATERSPORTS,M,28,Y,11h15,Unknown
150,27-Apr-2017,2017,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",SURFING/WATERSPORTS,F,20s,N,14h00,Unknown
151,26-Apr-2017,2017,Uncertain,USA,Florida,Unknown,PHOTO SHOOT,F,Unknown,Unknown,Unknown,NO SHARK
152,22-Apr-2017,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,SWIMMING/DIVING,F,40,N,16h00,Unknown
153,20-Apr-2017,2017,Uncertain,USA,South Carolina,Georgetown County,SWIMMING/DIVING,M,Unknown,Unknown,08h50,Unknown
154,17-Apr-2017,2017,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",UNKNOWN,Unknown,Unknown,N,Afternoon,Unknown
155,17-Apr-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,SURFING/WATERSPORTS,F,17,Y,16h00,WHITE SHARK
156,14-Apr-2017,2017,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",SURFING/WATERSPORTS,M,28,N,09h00,TIGER SHARK
157,13-Apr-2017,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",SURFING/WATERSPORTS,M,17,N,13h30,Unknown
158,12-Apr-2017,2017,Unprovoked,USA,Florida,St. Augustine,SURFING/WATERSPORTS,F,Unknown,N,13h45,Unknown
159,12-Apr-2017,2017,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,SWIMMING/DIVING,M,68,Unknown,Unknown,Unknown
160,11-Apr-2017,2017,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",SURFING/WATERSPORTS,F,35,N,16h00,Unknown
161,10-Apr-2017,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",SURFING/WATERSPORTS,F,10,N,17h45,Unknown
162,10-Apr-2017,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",SWIMMING/DIVING,F,21,N,17h00,Unknown
163,06-Apr-2017,2017,Unprovoked,USA,Florida,"Daytona, Volusia County",SWIMMING/DIVING,M,16,N,Unknown,Unknown
164,05-Apr-2017,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SWIMMING/DIVING,F,51,N,13h00,Unknown
165,02-Apr-2017,2017,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,KAKAYING,M,39,N,Afternoon,Unknown
166,02-Apr-2017,2017,Unprovoked,USA,Florida,"Destin, Okaloosa County",SWIMMING/DIVING,F,17,N,15h00,BULL SHARK
167,27-Mar-2017,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,58,N,10h00,Unknown
168,19-Mar-2017,2017,Unprovoked,AUSTRALIA,New South Wales,The Farm,SURFING/WATERSPORTS,M,30,N,18h30,Unknown
169,18-Mar-2017,2017,Uncertain,USA,California,Monterey Bay,KAYAKING,M,Unknown,N,14h30,WHITE SHARK
170,11-Mar-2017,2017,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",FISHING,M,25,N,Unknown,Unknown
171,Reported 09-Mar-2017,2017,Unprovoked,BAHAMAS,Great Exuma,Unknown,WASHING HANDS,M,58,N,Unknown,LEMON SHARK
172,25-Feb-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,SWIMMING/DIVING,F,Unknown,N,Morning,BULL SHARK
173,24-Feb-2017,2017,Unprovoked,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",SURFING/WATERSPORTS,M,Unknown,N,Morning,Unknown
174,21-Feb-2017,2017,Unprovoked,REUNION,Saint-Andre,Unknown,SURFING/WATERSPORTS,M,26,Y,09h30,Unknown
175,17-Feb-2017,2017,Unprovoked,AUSTRALIA,Queensland,Eva Rock,FISHING,M,26,N,10h20,Unknown
176,11-Feb-2017,2017,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",SWIMMING/DIVING,M,22,N,13h30,Unknown
177,06-Feb-2017,2017,Provoked,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,GRABBING SHARK FOR A SELFIE,F,Unknown,N,Afternoon,LEMON SHARK
178,06-Feb-2017,2017,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,FISHING,M,Unknown,N,Unknown,TIGER SHARK
179,01-Feb-2017,2017,Uncertain,USA,South Carolina,16 miles off Hilton Head,TAGGING SHARKS,Unknown,Unknown,N,Unknown,WHITE SHARK
180,01-Feb-2017,2017,Unprovoked,BAHAMAS,Bimini,Unknown,SWIMMING/DIVING,M,37,N,Unknown,REEF SHARK
181,24-Jan-2017,2017,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",SWIMMING/DIVING,M,21,N,13h20,Unknown
182,22-Jan-2017,2017,Unprovoked,USA,Florida,"Vero Beach, Indian River County",UNKNOWN,M,Teen,N,14h00,Unknown
183,21-Jan-2017,2017,Unprovoked,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",SWIMMING/DIVING,M,55,N,12h00,BULL SHARK
184,13-Jan-2017,2017,Unprovoked,AUSTRALIA,Queensland,Clairview,SWIMMING/DIVING,M,57,N,13h30,Unknown
185,13-Jan-2017,2017,Unprovoked,USA,Florida,Jensen Beach,UNKNOWN,M,Unknown,N,Morning,Unknown
